Varför?	Why?
Den bilen är hans.	That car is his.
När kan vi äta?	When can we eat?
Vem är den killen?	Who is that boy?
Är inte du Tom?	Aren't you Tom?
Bob är min kompis.	Bob is my friend.
Kom och hjälp oss.	Come and help us.
Jag betalar det dubbla.	I'll pay double.
Det var värt det.	It was worth it.
Det är inga problem.	It's no trouble.
Mary är där inne.	Mary's in there.
Hon äter middag nu.	She is having dinner now.
Tom är fortfarande uppe.	Tom is still up.
Tom är fortfarande vaken.	Tom is still awake.
Tom är på övervåningen.	Tom is upstairs.
Tom är inte glad.	Tom isn't happy.
Tom lämnade ett meddelande.	Tom left a note.
Tom ljög för dig.	Tom lied to you.
Tom ser arg ut.	Tom looks angry.
Tom var min hjälte.	Tom was my hero.
Tom hade helt rätt.	Tom was spot on.
Jag läste ett brev.	I read a letter. (past)
Jag läser ett brev.	I read a letter.
Vad finns där inne?	What's in there?
Vad handlar det om?	What's it about?
Vad är min belöning?	What's my prize?
Du är så kräsen.	You're so picky.
Du kommer med undanflykter.	You're stalling.
Är jag i trubbel?	Am I in trouble?
Är vi färdiga här?	Are we done here?
Ska vi gå långt?	Are we going far?
Är du en idiot?	Are you an idiot?
Skrev jag det där?	Did I write that?
Berättade du för Tom?	Did you tell Tom?
Litar du på Tom?	Do you trust Tom?
Vill du ha barn?	Do you want kids?
Var inte så lat.	Don't be so lazy.
Drick inte det där.	Don't drink that.
Prata inte med mig.	Don't talk to me.
Berätta inte för någon.	Don't tell anyone.
Ha ett bra liv.	Have a nice life.
Du kan ta det.	You can have it.
Ha ett trevligt liv.	Have a nice life.
Han blir rädd lätt.	He scares easily.
Hur såg Tom ut?	How did Tom look?
Hur ser det ut?	How does it look?
Jag kunde inte stå.	I couldn't stand.
Jag känner inte Tom.	I don't know Tom.
Jag kör en hybridbil.	I drive a hybrid.
Jag fick precis sparken.	I just got fired.
Jag öppnade den precis.	I just opened it.
Jag gillar ditt hår.	I like your hair.
Jag älskar den sången.	I love that song.
Jag älskar denna stad.	I love this town.
Jag älskar dina ögon.	I love your eyes.
Vi blir inte yngre.	We're not getting any younger.
Tom kan höra dig.	Tom can hear you.
Tom kan höra er.	Tom can hear you.
Tom kan inte vägra.	Tom can't refuse.
Tom är en hipster.	Tom is a hipster.
Tom är en stamkund.	Tom is a regular.
Tom är fast anställd.	Tom is a regular.
Tom ligger i koma.	Tom is in a coma.
Tom är för ung.	Tom is too young.
Tom gillar det varmt.	Tom likes it hot.
Tom såg bra ut.	Tom looked great.
Tom ser skyldig ut.	Tom looks guilty.
Vilken är din favoritsuperhjälte?	Who's your favorite super hero?
Är det några frågor?	Are there any questions?
Vi måste skynda oss.	We need to hurry.
Vad är allt detta?	What is all this?
Vad är detta för?	What is this for?
Vad har Tom hittat?	What's Tom found?
Vad är din plan?	What's your plan?
Vad har du gjort?	What've you done?
Var är vi nu?	Where are we now?
Var är min telefon?	Where's my phone?
Varför är du hemma?	Why are you home?
Vi är i trubbel.	We're in trouble.
Har Tom blivit skadad?	Has Tom been hurt?
Har du sett Tom?	Have you seen Tom?
Hennes dröm är över.	Her dream is over.
Hennes hud var varm.	Her skin was warm.
Hur kunde du gissa?	How did you guess?
Hur klarar du det?	How do you manage?
Jag dödade inte Tom.	I didn't kill Tom.
Jag måste träffa Tom.	I have to see Tom.
Jag vet bara inte.	I just don't know.
Jag gillar din halsduk.	I like your scarf.
Ljuger du för mig?	Are you lying to me?
Jag tappade ett örhänge.	I lost an earring.
Jag älskar den filmen.	I love that movie.
Jag älskar den halsduken.	I love that scarf.
Jag älskar den historian.	I love that story.
Jag behöver en huvudvärkstablett.	I need an aspirin.
Jag behöver lite sömn.	I need some sleep.
Jag behöver lite vatten.	I need some water.
Jag behöver träffa Tom.	I need to see Tom.
Jag räddade ditt liv.	I saved your life.
Jag vill vara här.	I want to be here.
Jag vill åka tillbaka.	I want to go back.
Jag vill gå tillbaka.	I want to go back.
Jag vill träffa Tom.	I want to meet Tom.
Jag var på området.	I was in the area.
Jag hämtar lite is.	I'll get some ice.
Jag ska hämta boken.	I'll get the book.
Jag är lite upptagen.	I'm a little busy.
Jag är hemskt trött.	I'm awfully tired.
Jag kommer till dig.	I'm coming to you.
Jag ska skaffa katt.	I'm getting a cat.
Jag ger inte upp.	I'm not giving up.
Vi ställer julgranen här.	Let's put the Christmas tree here.
Signera på raden här.	Sign on this line.
Det här är felaktigt.	This is incorrect.
Tom såg inte det.	Tom didn't see it.
Tom hade inget val.	Tom had no choice.
Tom har blivit skadad.	Tom has been hurt.
Tom är en flykting.	Tom is a fugitive.
Tom är på baren.	Tom is at the bar.
Tom är bakom dig.	Tom is behind you.
Tom är illa ute.	Tom is in trouble.
Tom är min man.	Tom is my husband.
Tom är på väg.	Tom is on his way.
Tom gillar det kallt.	Tom likes it cold.
Tom ser irriterad ut.	Tom looks annoyed.
Tom ser förkrossad ut.	Tom looks crushed.
Hunden är på stolen.	The dog is on the chair.
Mary har många vänner.	Mary has many friends.
Han slåss mot väderkvarnar.	He fights windmills.
Kommer du ihåg oss?	Do you remember us?
Du har många vänner.	You have many friends.
Kan du vakta ungarna?	Can you watch the kids?
Ser Tom förvirrad ut?	Does Tom look confused?
Smickra inte dig själv.	Don't flatter yourself.
Få bort Tom härifrån.	Get Tom away from here.
Hur mycket kostade det?	How much did that cost?
Jag uppskattar din tid.	I appreciate your time.
Jag uppskattar ditt jobb.	I appreciate your work.
Katten sover på soffan.	The cat is sleeping on the sofa.
Vem tycker inte så?	Who doesn't think so?
Tycker du om teatern?	Do you like the theater?
Mary har redan gått.	Mary has already left.
Gå och byt om.	Go get changed.
Hon övergav sina barn.	She abandoned her children.
Nej, inte för mycket.	No, not too much.
Har du borstat tänderna?	Did you brush your teeth?
Franskan utvecklades från latin.	French developed from Latin.
Hans historia är sann.	His story is true.
Jag ville träffa dig.	I wanted to meet you.
Tom vill ha hjälp.	Tom wants to help.
Vad ville Tom ha?	What did Tom want?
Vad gör jag sen?	What do I do next?
Vad gör vi nu?	What do we do now?
Tycker du om robotar?	Do you like robots?
Tacka mig inte än.	Don't thank me yet.
Hur kom Tom in?	How did Tom get in?
Hur känns det där?	How does that feel?
Staden förstördes under kriget.	The town was destroyed during the war.
Hur skulle du veta?	How would you know?
Hur kom du hit?	How'd you get here?
Hur känner du dig?	How're you feeling?
Hur mår din patient?	How's your patient?
Jag kan höra vinden.	I can hear the wind.
Jag tål inte golf.	I can't stand golf.
Jag gjorde det frivilligt.	I did it willingly.
Jag rörde inte Tom.	I didn't touch Tom.
Jag kände mig skyldig.	I felt responsible.
Jag hittade din dagbok.	I found your diary.
Jag måste åka hem.	I have to get home.
Jag lånade den precis.	I just borrowed it.
Jag kände din pappa.	I knew your father.
Jag gillade den filmen.	I liked that movie.
Jag gillade din historia.	I liked your story.
Jag rörde den aldrig.	I never touched it.
Jag läste din rapport.	I read your report.
Jag är lite tidig.	I'm a little early.
Jag känner mig hungrig.	I'm feeling hungry.
Jag följer med Tom.	I'm going with Tom.
Jag är så generad.	I'm so embarrassed.
Släng iväg den bara.	Just throw it away.
Mina väskor är packade.	My bags are packed.
Så vad gjorde du?	So what did you do?
Stanna här med Tom.	Stay here with Tom.
Stanna, annars skjuter jag.	Stop or I'll shoot.
Sluta prata med mig.	Stop talking to me.
Det här är skandalöst!	This is outrageous!
Detta är riktigt illa.	This is really bad.
Tom hör dig inte.	Tom can't hear you.
Tom har tuppat av.	Tom has passed out.
Tom måste gå hem.	Tom has to go home.
Hur mår din mamma?	How's your mother?
Du måste lämna Boston.	You have to leave Boston.
Tom ska precis gå.	Tom is about to go.
Tom är vid dörren.	Tom is at the door.
Tom har aldrig fel.	Tom is never wrong.
Tom dök precis upp.	Tom just showed up.
Tom tittade på Mary.	Tom looked at Mary.
Tom såg förbryllad ut.	Tom looked puzzled.
Tom ser orolig ut.	Tom looks agitated.
Tom ser förvirrad ut.	Tom looks confused.
Jag behöver en askkopp.	I need an ashtray.
Han undersökte Amazonas regnskog.	He explored the Amazon jungle.
Tom ser bekant ut.	Tom looks familiar.
Tom ser lättad ut.	Tom looks relieved.
Tom har kanske rätt.	Tom might be right.
Tom måste få hjälp.	Tom must be helped.
Tom skakade på huvudet.	Tom shook his head.
Tom borde vara här.	Tom should be here.
Tom var väldigt modig.	Tom was very brave.
Tom skrek åt Mary.	Tom yelled at Mary.
Tom skrek på Mary.	Tom yelled at Mary.
Vi kan inte dödas.	We can't be killed.
Vi har inga hemligheter.	We have no secrets.
Vi borde ringa Tom.	We should call Tom.
Vi har pratat färdigt.	We're done talking.
Vi kommer att försöka.	We're going to try.
Vad lärde du dig?	What did you learn?
Vilken station är detta?	What station is it?
Vad skulle ha veta?	What would he know?
Du får inte smita.	You can't back out.
Du hjälper inte till.	You're not helping.
Ni hjälper inte till.	You're not helping.
Du är så paranoid.	You're so paranoid.
Ni är så paranoida.	You're so paranoid.
Berättade någon för Tom?	Did anyone tell Tom?
Har vi något val?	Do we have a choice?
Har du en telefon?	Do you have a phone?
Han vände bort blicken.	He averted his gaze.
Han festar för mycket.	He parties too much.
Hans föräldrar älskar mig.	His parents love me.
Hur hände det där?	How did that happen?
Hur hittade Tom oss?	How did Tom find us?
Hur hittade ni oss?	How did you find us?
Hur känner du Tom?	How do you know Tom?
Läs det här först.	Read this first.
Jag tycker om frukt.	I like fruit.
Jag behövde inte gå.	I didn't have to go.
Jag sov inte bra.	I didn't sleep well.
Jag vill bara vila.	I just want to rest.
Jag vill bara prata.	I just want to talk.
Jag rörde aldrig Tom.	I never touched Tom.
Jag tänkte på Tom.	I thought about Tom.
Jag försökte varna dig.	I tried to warn you.
Jag försökte varna er.	I tried to warn you.
Jag vill komma hem.	I want to come home.
Tack för ditt svar.	Thanks for your reply.
Tack för ert svar.	Thanks for your reply. (plural)
Var ska vi träffas?	Where shall we meet?
Var ska vi ses?	Where shall we meet?
Jag ska gå nu.	I'm going to go now.
Det hände så snabbt.	It happened so fast.
Följ bara mitt exempel.	Just follow my lead.
Mary är ganska orolig.	Mary is quite fussy.
Stanna där du är!	Stand where you are!
Sluta hacka på Tom.	Stop picking on Tom.
Tom höll Mary tätt.	Tom held Mary tight.
Tom hjälpte oss mycket.	Tom helped us a lot.
Tom är deras ledare.	Tom is their leader.
Något fruktansvärt har hänt.	Something terrible's happened.
De äter inte kött.	They don't eat meat.
Mamma, var är toalettpappersrullen?	Mom, where is the toilet paper roll?
Någonting fruktansvärt har hänt.	Something terrible's happened.
Tom behöll min tändare.	Tom kept my lighter.
Tom gillade den idén.	Tom liked that idea.
Tom ser annorlunda ut.	Tom looks different.
Tom ser äcklad ut.	Tom looks disgusted.
Tom ser utmattad ut.	Tom looks exhausted.
Tom ser slut ut.	Tom looks exhausted.
Tom tog ett beslut.	Tom made a decision.
Tom gjorde sitt val.	Tom made his choice.
Tom kom aldrig tillbaka.	Tom never came back.
Tom rullade med ögonen.	Tom rolled his eyes.
Tom satt på trottoarkanten.	Tom sat on the curb.
Hon är min flickvän.	She is my girlfriend.
Vi måste hjälpa Tom.	We need to help Tom.
Vi borde sätta igång.	We should get going.
Vad har du hört?	What have you heard?
Vad var Toms plan?	What was Tom's plan?
Vi värdesätter våra kunder.	We value our customers.
Var är mina saker?	Where are my things?
Vem brukade göra detta?	Who used to do this?
Vems idé var det?	Whose idea was that?
Varför åker inte Tom?	Why won't Tom leave?
Skulle Tom gilla det?	Would Tom like that?
Tom var helt hjälplös.	Tom was completely helpless.
Jag är i London.	I am in London.
Följer du efter mig?	Are you following me?
Eld är väldigt farligt.	Fire is very dangerous.
Enligt hans åsikt, ja.	According to his opinion, yes.
Vilket är ditt favoritnagellack?	What's your favorite nail polish?
Gjorde någon sig illa?	Did anybody get hurt?
Måste jag betala dig?	Do I have to pay you?
Har du några kontanter?	Do you have any cash?
Äger du ett handeldvapen?	Do you own a handgun?
Katten är på mattan.	The cat is on the mat.
Var inte så dramatisk.	Don't be so dramatic.
Var inte så negativ.	Don't be so negative.
Rör inte mina grejer.	Don't touch my stuff.
Vill du inte åka?	Don't you want to go?
Rör inte mina saker.	Don't touch my stuff.
Hur hittade du Tom?	How did you find Tom?
Hur är detta relevant?	How is this relevant?
Jag vill inte vila.	I don't want to rest.
Hur många fick du?	How many did you get?
Jag kan knappt andas.	I can hardly breathe.
Jag har varit upptagen.	I have been busy.
Jag dödade inte någon.	I didn't kill anyone.
Jag förtjänar inte detta.	I don't deserve this.
Jag gjorde några ändringar.	I made a few changes.
Jag håller dig informerad.	I'll keep you posted.
Jag gör mina läxor.	I'm doing my homework.
Jag väntar ett samtal.	I'm expecting a call.
Det känns riktigt bra.	It feels really good.
Det var ett insidejobb.	It was an inside job.
John sitter bredvid Jack.	John sits next to Jack.
Läs inte denna mening.	Don't read this sentence.
Spela den sången igen.	Play that song again.
Berätta vad du såg.	Tell me what you saw.
Tom dödade inte Mary.	Tom didn't kill Mary.
Tom hatar inte dig.	Tom doesn't hate you.
Tom drack i tystnad.	Tom drank in silence.
Tom har dålig hygien.	Tom has poor hygiene.
Tom är redan där.	Tom is already there.
Tom är i duschen.	Tom is in the shower.
Tom tittar på mig.	Tom is looking at me.
Tom är ingen främling.	Tom isn't a stranger.
Tom gick precis in.	Tom just went inside.
Tom tycker om reality-tv.	Tom likes reality TV.
Tom ser frustrerad ut.	Tom looks frustrated.
Tom lovade att hjälpa.	Tom promised to help.
Tom halkade och föll.	Tom slipped and fell.
Tom stal dina pengar.	Tom stole your money.
Tom försökte döda mig.	Tom tried to kill me.
Tom försökte rädda mig.	Tom tried to save me.
Tom snavade och föll.	Tom tripped and fell.
Ann tycker om choklad.	Ann loves chocolate.
Vad för dig hit?	What brings you here?
Vad kallade du mig?	What did you call me?
Vad har vi här?	What do we have here?
Vad är Toms problem?	What's Tom's problem?
